 0.00000000e+00 -8.27604651e-12  0.00000000e+00 -4.36397585e-11  0.00000000e+00 -3.37112005e-11 
 9.81400000e-06 -8.27604651e-12  9.81400000e-06 -4.36397585e-11  9.81400000e-06 -3.37112005e-11 
 9.86400000e-06 -8.27604651e-12  9.86400000e-06 -4.36397585e-11  9.86400000e-06 -3.37112005e-11 
 9.91400000e-06 -8.27604651e-12  9.91400000e-06 -4.36397585e-11  9.91400000e-06 -3.37112005e-11 
 9.96400000e-06 -8.27604651e-12  9.96400000e-06 -4.36397585e-11  9.96400000e-06 -3.37112005e-11 
 1.00140000e-05 -8.27604651e-12  1.00140000e-05 -4.36397585e-11  1.00140000e-05 -3.37112005e-11 
 1.00640000e-05 -8.27604651e-12  1.00640000e-05 -4.36397585e-11  1.00640000e-05 -3.37112005e-11 
 1.01140000e-05 -8.27604651e-12  1.01140000e-05 -4.36397585e-11  1.01140000e-05 -3.37112005e-11 
 1.01640000e-05 -8.27604651e-12  1.01640000e-05 -4.36397585e-11  1.01640000e-05 -3.37112005e-11 
 1.02140000e-05 -8.27604651e-12  1.02140000e-05 -4.36397585e-11  1.02140000e-05 -3.37112005e-11 
 1.02640000e-05 -8.27604651e-12  1.02640000e-05 -4.36397585e-11  1.02640000e-05 -3.37112005e-11 
 1.03140000e-05 -8.27604651e-12  1.03140000e-05 -4.36397585e-11  1.03140000e-05 -3.37112005e-11 
 1.03640000e-05 -8.27604651e-12  1.03640000e-05 -4.36397585e-11  1.03640000e-05 -3.37112005e-11 
 1.04140000e-05 -8.27604651e-12  1.04140000e-05 -4.36397585e-11  1.04140000e-05 -3.37112005e-11 
 1.04640000e-05 -8.27604651e-12  1.04640000e-05 -4.36397585e-11  1.04640000e-05 -3.37112005e-11 
 1.05140000e-05 -8.27604651e-12  1.05140000e-05 -4.36397585e-11  1.05140000e-05 -3.37112005e-11 
 1.05640000e-05 -8.27604651e-12  1.05640000e-05 -4.36397585e-11  1.05640000e-05 -3.37112005e-11 
 1.06140000e-05 -8.27604651e-12  1.06140000e-05 -4.36397585e-11  1.06140000e-05 -3.37112005e-11 
 1.06640000e-05 -8.27604651e-12  1.06640000e-05 -4.36397585e-11  1.06640000e-05 -3.37112005e-11 
 1.07140000e-05 -8.27604651e-12  1.07140000e-05 -4.36397585e-11  1.07140000e-05 -3.37112005e-11 
 1.07640000e-05 -8.27604651e-12  1.07640000e-05 -4.36397585e-11  1.07640000e-05 -3.37112005e-11 
 1.08140000e-05 -8.27604651e-12  1.08140000e-05 -4.36397585e-11  1.08140000e-05 -3.37112005e-11 
 1.08640000e-05 -8.27604651e-12  1.08640000e-05 -4.36397585e-11  1.08640000e-05 -3.37112005e-11 
 1.09140000e-05 -8.27604651e-12  1.09140000e-05 -4.36397585e-11  1.09140000e-05 -3.37112005e-11 
 1.09640000e-05 -8.27604651e-12  1.09640000e-05 -4.36397585e-11  1.09640000e-05 -3.37112005e-11 
 1.10140000e-05 -8.27604651e-12  1.10140000e-05 -4.36397585e-11  1.10140000e-05 -3.37112005e-11 
 1.10640000e-05 -8.27604651e-12  1.10640000e-05 -4.36397585e-11  1.10640000e-05 -3.37112005e-11 
 1.11140000e-05 -8.27604651e-12  1.11140000e-05 -4.36397585e-11  1.11140000e-05 -3.37112005e-11 
 1.11640000e-05 -8.27604651e-12  1.11640000e-05 -4.36397585e-11  1.11640000e-05 -3.37112005e-11 
 1.12140000e-05 -8.27604651e-12  1.12140000e-05 -4.36397585e-11  1.12140000e-05 -3.37112005e-11 
 1.12640000e-05 -8.27604651e-12  1.12640000e-05 -4.36397585e-11  1.12640000e-05 -3.37112005e-11 
